transgenic_line,neurotransmitter,reporter_status,dendrite_type,layer,threshold_v,peak_v,trough_v,upstroke,upstroke_v,downstroke,downstroke_v,fast_trough_v,width,upstroke_downstroke_ratio,file_name
Glutamatergic,Glutamatergic,positive,spiny,L6b,-50.375003814697266,35.65625,-80.59375762939453,452.5090960969775,-8.0,-125.32645211818581,-18.90625,-57.03125,0.0006749999999999812,3.610643151936119,488428837_54
Glutamatergic,Glutamatergic,positive,spiny,L6a,-43.281253814697266,31.281251907348633,-66.53125762939453,352.5000967337501,-12.968750953674316,-91.12627031237382,0.7187500596046448,-56.500003814697266,0.0008799999999999919,3.8682598939406496,502367941_36
Htr3a+|Vip-,GABAergic,positive,aspiny,L5,-42.5,38.968753814697266,-75.78125762939453,341.89724286960086,-13.5625,-102.58797062823524,18.718751907348633,-56.531253814697266,0.0008399999999999519,3.332722548032358,584872371_49
Htr3a+|Vip-,GABAergic,positive,aspiny,L1,-37.40625,34.0625,-75.78125762939453,419.0894556425456,-5.406250476837158,-158.71391678881426,7.718750476837158,-63.062503814697266,0.0005800000000000249,2.6405337611331756,555341581_52
Pvalb+,GABAergic,positive,aspiny,L2/L3,-41.281253814697266,10.3125,-73.31250762939453,308.6617416882246,-15.375,-180.27691101603787,-9.281250953674316,-59.312503814697266,0.00039999999999995595,1.7121534862596204,486754703_65
Htr3a+|Vip-,GABAergic,positive,aspiny,L5,-40.21875,23.281251907348633,-73.40625762939453,320.5492826129146,-4.25,-125.27248369370447,-6.25,-62.437503814697266,0.0006150000000000322,2.558816375004336,482773968_52
Sst+,GABAergic,positive,aspiny,L5,-46.96875,31.156251907348633,-73.5625,420.2311765809815,-6.375000476837158,-243.68515464943297,-8.75,-67.03125762939453,0.00043500000000018524,1.7244841081334183,491029832_44
Glutamatergic,Glutamatergic,positive,spiny,L2/L3,-64.75,42.000003814697266,-78.09375,458.18414075223404,-5.718750476837158,-122.06097322976947,-9.1875,-49.500003814697266,0.0006800000000000139,3.7537316689237032,517974394_69
Htr3a+|Vip-,GABAergic,positive,aspiny,L5,-48.25,22.0625,-69.71875,405.7435500960125,-9.375,-298.42594938519335,-8.9375,-66.21875,0.0003500000000000725,1.3596121615158168,464326210_58
Glutamatergic,Glutamatergic,positive,spiny,L4,-44.468753814697266,26.40625,-74.65625762939453,349.7645096307442,-17.531251907348633,-119.53646283955693,-4.812500476837158,-51.031253814697266,0.0007150000000000212,2.926006854495952,484738748_48
Glutamatergic,Glutamatergic,positive,spiny,L6b,-44.156253814697266,40.03125,-65.15625,373.3003797301744,-1.03125,-106.13728376695246,16.0,-46.468753814697266,0.0006999999999999229,3.517146534010016,507101551_42
Sst+,GABAergic,positive,aspiny,L5,-38.6875,23.750001907348633,-65.03125,265.5171675340077,-9.281250953674316,-130.11897276651177,-11.40625,-58.625,0.000700000000000145,2.0405722692758825,592712536_56
Sst+,GABAergic,positive,aspiny,L5,-42.75,15.125000953674316,-75.625,391.33014009594444,-11.125,-293.2997060001375,-9.781250953674316,-58.593753814697266,0.000280000000000058,1.3342329777028858,472517038_60
Glutamatergic,Glutamatergic,positive,spiny,L4,-45.250003814697266,38.375,-78.84375,480.4030753493367,-10.75,-123.26027223707102,8.406250953674316,-51.812503814697266,0.000660000000000105,3.897468881338829,515202564_50
Sst+,GABAergic,positive,aspiny,L6b,-37.96875,41.531253814697266,-61.312503814697266,431.08350321604667,-1.4687501192092896,-162.17271970797256,-15.562500953674316,-57.781253814697266,0.000560000000000116,2.658175209691906,574038330_56
Glutamatergic,Glutamatergic,positive,spiny,L4,-46.03125,44.90625,-77.75000762939453,452.0846624824002,1.90625,-123.24297644631251,18.625,-49.9375,0.0006649999999999157,3.668238755003931,322723785_52
Glutamatergic,Glutamatergic,positive,spiny,L4,-39.437503814697266,33.937503814697266,-76.53125,283.44086601854366,-10.3125,-93.21205604366038,5.187500476837158,-46.65625,0.0008950000000000902,3.0408176586704663,476457450_44
Pvalb+,GABAergic,positive,aspiny,L2/L3,-46.96875,5.375,-80.03125,386.05347755556676,-20.125001907348633,-279.58443082034364,-15.218750953674316,-64.84375,0.0002750000000000252,1.3808117870613417,486755781_70
Htr3a+|Vip-,GABAergic,positive,aspiny,L5,-47.281253814697266,11.46875,-61.218753814697266,277.05025880780425,-15.281250953674316,-150.22804859508884,-11.375000953674316,-54.937503814697266,0.00048000000000003595,1.8441979470460979,479107488_52
Htr3a+|Vip-,GABAergic,positive,aspiny,L2/L3,-46.4375,28.90625,-70.03125,486.2625077136466,-5.59375,-178.75939591355407,-12.031250953674316,-61.96875,0.00044499999999980666,2.7202067070577782,439372920_47
Sst+,GABAergic,positive,aspiny,L6b,-49.6875,30.062501907348633,-71.78125762939453,440.139316931934,-11.156250953674316,-329.1065911736689,-1.625,-69.12500762939453,0.00038000000000004697,1.3373761836926363,569457730_61
Sst+,GABAergic,positive,aspiny,L4,-43.031253814697266,29.406251907348633,-73.53125762939453,353.8039866538943,-0.9375000596046448,-136.1798848451707,2.5625,-58.625,0.0005999999999999339,2.5980634882761917,560965993_59
Glutamatergic,Glutamatergic,positive,spiny,L6b,-45.437503814697266,45.78125,-68.40625762939453,445.8558720506178,-2.0,-119.41177161836328,-0.40625,-56.343753814697266,0.0007600000000000939,3.7337681704912717,562965437_61
Glutamatergic,Glutamatergic,positive,spiny,L4,-48.531253814697266,36.53125,-75.59375762939453,452.41705049598636,-4.90625,-124.41496262889774,6.53125,-50.781253814697266,0.0006399999999999739,3.6363556354989726,490263211_51
Glutamatergic,Glutamatergic,positive,spiny,L6b,-46.000003814697266,47.84375,-76.0625,550.0395776238339,-4.84375,-134.51681077189838,-9.000000953674316,-55.125,0.0006800000000000139,4.089002515503746,509003464_46
Vip+,GABAergic,positive,aspiny,L2/L3,-39.625,40.28125,-59.34375,331.96822112013587,-6.96875,-79.72404075520157,14.500000953674316,-49.125,0.0010200000000000209,4.163966326537165,582647492_67
Sst+,GABAergic,positive,aspiny,L2/L3,-45.875,29.968751907348633,-69.28125,442.9726304828863,-13.65625,-178.88662150659343,5.468750476837158,-55.1875,0.00048000000000003595,2.4762759045486202,566671538_54
