dendrite_type,layer,stimulus_to_peak_t,threshold_v,peak_v,trough_v,upstroke,upstroke_v,downstroke,downstroke_v,fast_trough_v,width,upstroke_downstroke_ratio,file_name
spiny,L4,0.0034,-44.406253814697266,40.093753814697266,-62.093753814697266,321.98636273264543,-1.09375,-101.87615458222191,-15.281250953674316,-58.593753814697266,0.0009000000000001229,3.1605665138526366,611823070_11
spiny,L5,0.0034,-49.9375,48.71875,-67.84375,429.71733214548965,3.0,-95.78562699804259,-19.843751907348633,-58.46875,0.0009200000000000319,4.486240218005475,576120358_14
spiny,L3,0.00348,-32.3125,41.875,-74.3125,303.884700081415,2.4375,-115.33732169908885,-4.562500476837158,-53.406253814697266,0.0008399999999999519,2.6347473272722586,508376177_24
spiny,L3,0.00358,-45.187503814697266,54.0,-71.125,392.24499531055017,4.718750476837158,-77.22205765821927,39.593753814697266,-49.968753814697266,0.0010999999999998789,5.0794424184681235,539547437_31
spiny,L6,0.00338,-49.031253814697266,41.500003814697266,-71.0,349.4674611028505,4.312500476837158,-121.6141062976355,25.500001907348633,-56.218753814697266,0.0006999999999999229,2.873576690582029,548473245_15
spiny,L5,0.00364,-41.46875,26.187501907348633,-69.65625,259.87546343629003,-11.84375,-106.24566653697137,-1.9375001192092896,-47.968753814697266,0.0007399999999999629,2.445986475560004,541551362_12
spiny,L3,0.00318,-50.15625,45.46875,-78.0,443.80645411932903,0.5,-123.69165688055244,-7.1875,-55.375003814697266,0.0007399999999999629,3.588006380639784,527946361_16
spiny,L3,0.0036,-48.437503814697266,43.875,-77.03125762939453,357.46207846696757,-0.78125,-127.52557972641985,-12.625,-52.031253814697266,0.0007800000000000029,2.803061779713761,531526539_17
spiny,L5,0.00328,-48.34375,46.65625,-68.125,325.9931854427197,9.3125,-98.60411026689407,26.062501907348633,-52.750003814697266,0.0008799999999999919,3.306081101085404,539542218_13
spiny,L5,0.00312,-47.031253814697266,45.031253814697266,-72.71875762939453,445.34845102008387,-3.656250238418579,-120.86871718301768,28.187501907348633,-52.656253814697266,0.0007199999999998319,3.684563395719205,569820026_14
spiny,L3,0.00316,-50.062503814697266,47.375,-68.9375,390.39536576700687,3.562500238418579,-115.41946541605253,-15.812500953674316,-55.687503814697266,0.0008399999999999519,3.382404903364859,525007375_15
spiny,L5,0.0037,-45.625,43.0625,-69.81250762939453,330.35953293773434,1.75,-83.88282636298918,-14.843750953674316,-54.46875,0.0009599999999998499,3.9383452759228406,571450845_18
spiny,L6,0.00334,-50.062503814697266,48.437503814697266,-67.8125,480.58910807459324,0.9062500596046448,-89.76110439321528,-20.156251907348633,-56.78125,0.0009400000000001629,5.354090853977051,613944404_19
